MODEL,PRICE
1950,10000
1951,15000
1952,20000
1953,25000
1954,30000
1955,35000
1956,40000
1957,45000
1958,50000
1959,55000
1960,60000
1961,65000
1962,70000
1963,75000
1964,80000
1965,85000
1966,90000
1967,95000
1968,100000
1969,105000
1970,110000
1971,115000
1972,120000
1973,125000
1974,130000
1975,135000
1976,140000
1977,145000
1978,150000
1979,155000
1980,160000
1981,165000
1982,170000
1983,175000
1984,180000
1985,185000
1986,190000
1987,195000
1988,200000
1989,205000
1990,210000
1991,215000
1992,220000
1993,225000
1994,230000
1995,235000
1996,240000
1997,245000
1998,250000
1999,255000
2000,260000
2001,265000
2002,270000
2003,275000
2004,280000
2005,285000
2006,290000
2007,295000
2008,300000
2009,305000
2010,310000
2011,315000
2012,320000
2013,325000
2014,330000
2015,335000
2016,340000
2017,345000
2018,350000
2019,355000
2020,360000
2021,365000
2022,370000
2023,375000
2024,380000
2025,385000
2026,390000
2027,395000
2028,400000
2029,405000
2030,410000
2031,415000
2032,420000
2033,425000
2034,430000
2035,435000
2036,440000
2037,445000
2038,450000
2039,455000
2040,460000
2041,465000
2042,470000
2043,475000
2044,480000
2045,485000
2046,490000
2047,495000
2048,500000
2049,505000
2050,510000
2051,515000
2052,520000
2053,525000
2054,530000
2055,535000
2056,540000
2057,545000
2058,550000
2059,555000
2060,560000
